Letter-num	Errors-Original	Errors-Restored	Psuede-Observations 

1	104	759	1
1	104	693	2
1	104	610	3
1	104	566	4
1	104	532	5
1	104	496	6
1	104	492	7
1	104	482	8
1	104	476	9
1	104	466	10
1	104	457	11
1	104	430	12
1	104	390	13
1	104	377	14
1	104	370	15
1	104	370	16
1	104	367	17
1	104	365	18
1	104	208	19
1	104	201	20
1	104	195	21
1	104	195	22
1	104	195	23
1	104	167	24
1	104	167	25
1	104	167	26
1	104	167	27
1	104	167	28
1	104	166	29
1	104	157	30
1	104	157	31
1	104	124	32
1	104	124	33
1	104	123	34
1	104	123	35
1	104	123	36
1	104	123	37
1	104	123	38
1	104	123	39
1	104	123	40
1	104	123	41
1	104	123	42
1	104	123	43
1	104	123	44
1	104	123	45
1	104	123	46
1	104	123	47
1	104	123	48
1	104	123	49
1	104	118	50
1	104	118	51
1	104	118	52
1	104	117	53
1	104	117	54
1	104	105	55
1	104	105	56
1	104	105	57
1	104	104	58
1	104	104	59
1	104	104	60
