Letter-num,Errors-Original,Errors-Restored,Psuede-Observations 
1,104,759,1
1,104,693,2
1,104,610,3
1,104,566,4
1,104,532,5
1,104,496,6
1,104,492,7
1,104,482,8
1,104,476,9
1,104,466,10
1,104,457,11
1,104,430,12
1,104,390,13
1,104,377,14
1,104,370,15
1,104,370,16
1,104,367,17
1,104,365,18
1,104,208,19
1,104,201,20
1,104,195,21
1,104,195,22
1,104,195,23
1,104,167,24
1,104,167,25
1,104,167,26
1,104,167,27
1,104,167,28
1,104,166,29
1,104,157,30
1,104,157,31
1,104,124,32
1,104,124,33
1,104,123,34
1,104,123,35
1,104,123,36
1,104,123,37
1,104,123,38
1,104,123,39
1,104,123,40
1,104,123,41
1,104,123,42
1,104,123,43
1,104,123,44
1,104,123,45
1,104,123,46
1,104,123,47
1,104,123,48
1,104,123,49
1,104,118,50
1,104,118,51
1,104,118,52
1,104,117,53
1,104,117,54
1,104,105,55
1,104,105,56
1,104,105,57
1,104,104,58
1,104,104,59
1,104,104,60
4,99,979,1
4,99,846,2
4,99,772,3
4,99,722,4
4,99,714,5
4,99,672,6
4,99,616,7
4,99,571,8
4,99,551,9
4,99,535,10
4,99,528,11
4,99,525,12
4,99,518,13
4,99,513,14
4,99,511,15
4,99,495,16
4,99,495,17
4,99,493,18
4,99,469,19
4,99,467,20
4,99,467,21
4,99,465,22
4,99,461,23
4,99,249,24
4,99,235,25
4,99,235,26
4,99,234,27
4,99,231,28
4,99,231,29
4,99,145,30
4,99,145,31
4,99,139,32
4,99,139,33
4,99,130,34
4,99,126,35
4,99,117,36
4,99,117,37
4,99,117,38
4,99,118,39
4,99,118,40
4,99,118,41
4,99,118,42
4,99,118,43
4,99,118,44
4,99,118,45
4,99,118,46
4,99,115,47
4,99,99,48
4,99,99,49
4,99,99,50
4,99,99,51
4,99,99,52
4,99,99,53
4,99,99,54
4,99,99,55
4,99,99,56
4,99,99,57
4,99,99,58
4,99,99,59
4,99,99,60
8,147,1143,1
8,147,1027,2
8,147,942,3
8,147,838,4
8,147,812,5
8,147,761,6
8,147,757,7
8,147,730,8
8,147,723,9
8,147,632,10
8,147,625,11
8,147,614,12
8,147,610,13
8,147,610,14
8,147,388,15
8,147,333,16
8,147,329,17
8,147,330,18
8,147,285,19
8,147,284,20
8,147,282,21
8,147,282,22
8,147,282,23
8,147,252,24
8,147,252,25
8,147,252,26
8,147,243,27
8,147,243,28
8,147,243,29
8,147,243,30
8,147,243,31
8,147,243,32
8,147,242,33
8,147,241,34
8,147,241,35
8,147,239,36
8,147,196,37
8,147,196,38
8,147,196,39
8,147,186,40
8,147,181,41
8,147,178,42
8,147,178,43
8,147,177,44
8,147,147,45
8,147,147,46
8,147,147,47
8,147,147,48
8,147,147,49
8,147,147,50
8,147,147,51
8,147,147,52
8,147,147,53
8,147,147,54
